company,founder,dateFounded,description,ugArea,ug,gArea,g,disciplines,degreeYear,exit,exitDetails,category,skyDeck
42Floors,Justin Bedecarre,2011,"makes office space rentals and commercial real estate listings easier to search by indexing business places for rent, coworking spaces, office sublets, and executive suites.",Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2008)",2008,not yet,,Real Estate,
500friends,Hong Hu,2013,"is the trusted provider of next generation loyalty marketing solutions to over 40 of the Internet Retailer 1,000 brands.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2009)",2009,not yet,,Enterprise,
PointsHound,Chris Boyd,2012,(formerly Accruity) provides the best place on the internet to earn TONS of points in your favorite loyalty rewards programs.,Social Sciences,Economics,none,none,"BA, Economics (1994)",1994,not yet,,Consumer Web,
AdRise,Farhad Massoudi,2010,"is network of video-on-demand apps that sit next to Netflix and Hulu, across devices such Roku, XBOX, Samsung Smart TVs, and iPad.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2005)",2005,not yet,,Advertising,
Adstack,Daniel Quintero,2011,"enables marketers to serve different email content based on when, where, and how a message is opened.",Business,Business Administration,none,none,"BS, Business Administration",,yes,Acquired by TellApart in 2013,Advertising,
AdStage,Jason Wu,2012,"is building advanced tools to help businesses build, manage and optimize online ad campaigns.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2011)",2011,not yet,,Advertising,
AgilVax,Bryce Chackerian,2011,discovers and develops new vaccines (including those in its current pipeline) for infectious and chronic diseases with unmet clinical need.,Bio Sciences,(don't know),none,none,(don't know),1990,not yet,,BioTech,
Airphrame,William Grossman,2012,"develops unmanned planes for commercial markets. The company was incorporated in 2012 and is based in San Francisco, California.",Engineering,Mechanical Engineering,none,none,"BS, Mechanical Engineering (2009)",2009,not yet,,Transportation,
AppLovin,Adam Foroughi,2012,makes marketing personal. We turn mobile into a transformative advertising medium by using data gathered across screens to deliver a consistent experience tailored to individual consumers.,Business,Business Administration,none,none,"BS, Business Administration (2002)",2002,not yet,,Advertising,
AppMesh,Leo Tenenblat,2012,is building the next generation business platform for mobile devices. ,Math & Physical Sciences,Mathematics,none,none,"BA, Mathematics (1996)",1996,not yet,,Enterprise,
Ark,Patrick Riley,2011,organizes the world's social information.,Social Sciences,Economics,engineering,Computer Science,"
BA, Economics (2001); MS, Computer Science / HCI (2005); PhD, Computer Science (2011)",2011,not yet,,Search,
Asseta,Garrett Beck,2013,"is the most transparent platform ever for buying, selling, and managing equipment.",Social Sciences,Legal Studies,none,none,"BA, Legal Studies (2010)",2010,not yet,,Manufacturing,
Asseta,Jonathan Pease,2013,"is the most transparent platform ever for buying, selling, and managing equipment.",Social Sciences,Environmental Economics and Policy,none,none,"BA, Environmental Economics and Policy (2008)",2008,not yet,,Manufacturing,
Atterocor,Julia Owens,2012,focuses on research and development of therapeutics for adrenal disease.,Bio Sciences,Molecular and Cell Biology,none,none,"BS Chemistry,  BA Molecular and Cellular Biology  (1994)",1994,not yet,,BioTech,
AuditFile,Steven Bong,2011,(formerly Gastke Inc.) is the first cloud based auditing solution for CPA firms. ,Math & Physical Sciences,Statistics,none,none,"BA, Statistics (2012)",2012,not yet,,Enterprise,
Beautylish,Vu Nguyen,2010,is a social commerce website for the cosmetics industry.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2005)",2005,not yet,,eCommerce,
BizXchange,Chris Haddawy,2002,"is a membership-based association. Our members buy and sell products and services with other exchange members using BizX dollars, which are equivalent to U.S. dollars.",Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies",,not yet,,eCommerce,
BlueData,Tom Phelan,2012,is a stealth mode startup building the next-generation fast and secure big data private cloud for enterprises.,Engineering,Computer Science,none,none,"BS, Computer Science",,not yet,,Analytics/Big Data,
